type_of_property,price,bedrooms,energy_class,surface_of_the_plot,living_room_surface,number_of_frontages,building_condition,bathrooms,toilets,kitchen_type,heating_type
apartment,690000.0,3,A,0,53,0,0,2,1,0,Gas
apartment,199000.0,2,F,0,28,0,To be done up,1,1,Installed,0
apartment,290000.0,1,C,0,0,0,0,0,0,0,0
apartment,249000.0,3,B,0,0,0,0,0,0,0,0
apartment,379000.0,3,NS,0,0,0,0,2,2,Hyper equipped,0
apartment,240000.0,2,E,0,0,0,0,1,1,Installed,Gas
apartment,220000.0,2,B,0,0,0,0,1,1,USA installed,Gas
apartment,25.0,2,C,0,0,0,0,1,1,Installed,Fuel oil
apartment,239000.0,2,C,0,0,0,Just renovated,1,1,0,0
apartment,369000.0,2,B,0,0,0,Just renovated,2,0,Installed,Gas
apartment,370000.0,2,NS,0,0,0,0,2,0,0,0
apartment,249000.0,2,B,0,0,0,To be done up,1,1,USA installed,0
apartment,309240.0,2,NS,0,0,0,0,2,1,0,Gas
apartment,254743.0,2,NS,0,0,0,0,1,1,0,0
apartment,396061.0,2,NS,0,43,0,0,1,1,0,0
apartment,495000.0,3,A,0,0,0,0,1,1,0,0
apartment,175000.0,1,C,0,0,0,To be done up,1,0,Semi equipped,0
apartment,349000.0,3,B,0,0,0,As new,1,1,0,Fuel oil
apartment,330000.0,2,A,0,0,0,Just renovated,1,1,Hyper equipped,0
apartment,249000.0,1,NS,0,0,0,0,0,1,0,0
apartment,289000.0,2,C,0,0,0,As new,1,2,Installed,Gas
apartment,300000.0,2,NS,0,0,0,To renovate,1,0,0,0
apartment,250000.0,3,NS,0,0,0,Good,1,0,0,Fuel oil
apartment,300000.0,3,NS,0,0,0,Good,1,0,0,Gas
apartment,190000.0,2,NS,0,0,0,As new,2,0,0,Gas
apartment,210000.0,5,NS,0,0,0,As new,2,0,0,Gas
apartment,135000.0,1,NS,0,0,0,Good,1,0,0,Fuel oil
apartment,120000.0,1,NS,0,0,0,Good,1,0,0,Fuel oil
apartment,140000.0,1,NS,0,0,0,Good,1,0,0,Fuel oil
apartment,140000.0,3,NS,0,0,0,As new,1,0,0,Fuel oil
apartment,67000.0,1,NS,0,0,0,Good,1,0,0,Fuel oil
apartment,80000.0,1,NS,0,0,0,Good,1,0,0,Fuel oil
apartment,188000.0,1,NS,0,0,0,0,1,0,0,Electric
apartment,148750.0,1,C,0,22,2,Just renovated,1,1,0,Gas
apartment,215000.0,1,A,0,32,2,As new,1,1,0,Gas
apartment,349000.0,3,B,0,0,0,As new,1,2,0,0
apartment,30000.0,2,G,0,32,2,Good,1,1,0,Fuel oil
apartment,249000.0,2,B,0,25,0,As new,1,1,Installed,Gas
apartment,250000.0,2,B,0,30,2,0,1,1,Semi equipped,Gas
apartment,149000.0,1,NS,0,0,2,Just renovated,1,1,Installed,0
apartment,249000.0,2,B,0,0,2,Just renovated,1,0,Installed,Gas
apartment,30.0,2,C,0,37,0,Good,1,1,USA hyper equipped,Gas
apartment,195000.0,1,C,0,0,2,0,1,1,Semi equipped,Electric
apartment,174000.0,1,C,0,0,2,0,1,1,Semi equipped,Electric
apartment,420000.0,2,B,0,32,4,As new,2,1,Hyper equipped,Gas
apartment,275000.0,2,B,0,25,1,To renovate,1,1,0,Gas
apartment,500000.0,2,F,0,40,2,To renovate,1,2,Not installed,Fuel oil
apartment,125000.0,1,B,0,0,0,To renovate,1,1,0,Gas
apartment,269000.0,1,B,0,0,3,Good,1,1,Installed,Gas
apartment,249000.0,1,B,0,0,3,Good,1,1,Installed,Gas
apartment,299000.0,2,B,0,25,4,Just renovated,2,1,USA hyper equipped,Gas
apartment,249000.0,1,A,0,21,4,Just renovated,2,1,USA hyper equipped,Gas
apartment,249000.0,1,A,0,20,4,Just renovated,2,1,0,Gas
apartment,349000.0,2,C,0,0,2,Good,1,2,Installed,Gas
apartment,299000.0,2,A,0,0,3,Good,1,2,Installed,Gas
apartment,250000.0,1,NS,0,0,2,Good,1,1,Semi equipped,Gas
apartment,325000.0,2,C,0,0,0,0,1,1,0,0
apartment,220000.0,2,D,0,0,2,Good,1,0,0,Electric
apartment,25.0,2,B,0,24,2,Good,1,1,Installed,Gas
apartment,200000.0,3,C,0,0,2,0,1,1,Installed,0
apartment,150000.0,2,B,0,0,2,Good,1,1,Semi equipped,Gas
apartment,40.0,1,A,0,0,2,Good,1,1,Installed,Gas
apartment,180000.0,1,D,0,21,4,Good,1,1,Semi equipped,Gas
apartment,340000.0,2,NS,0,37,2,0,1,0,0,Electric
apartment,279000.0,2,D,0,0,2,Good,0,0,0,0
apartment,155000.0,0,B,0,0,1,Good,1,1,Installed,0
apartment,115000.0,2,D,0,0,2,Good,1,1,0,Electric
apartment,182000.0,1,C,0,28,2,Good,1,1,Installed,Gas
apartment,170000.0,1,C,0,0,2,0,1,2,0,Gas
apartment,245000.0,2,C,0,30,4,Good,1,1,0,Gas
apartment,189000.0,2,B,0,0,3,To be done up,1,1,Semi equipped,Gas
apartment,180000.0,2,C,0,0,2,To be done up,1,1,Semi equipped,Gas
apartment,219000.0,2,B,0,0,3,Good,2,0,Installed,Fuel oil
apartment,299000.0,3,C,0,30,2,Good,1,2,Semi equipped,Gas
apartment,20.0,2,C,0,0,3,Good,1,1,USA installed,Gas
apartment,199000.0,2,B,0,32,4,Good,1,1,Semi equipped,Fuel oil
apartment,185000.0,2,C,0,30,2,As new,1,1,Semi equipped,Gas
apartment,169500.0,2,B,0,28,2,Good,1,1,Semi equipped,Gas
