Type_of_property,Price,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,postal code
apartment,€690000,3,A,76,0,0,16,0,53,0,2006,0,0,2,0,No,1,0,Gas,8400
apartment,€199000,2,F,517,No,0,25,0,28,0,1996,To be done up,0,1,0,No,1,Installed,0,8400
apartment,€290000,1,C,253,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,2000
apartment,€249000,3,B,178,No,0,0,0,0,0,1964,0,0,0,0,No,0,0,0,3600
apartment,€,2,D,321,0,0,0,0,0,0,1973,Just renovated,0,1,0,No,0,Installed,0,2920
apartment,€,4,A,38,0,0,32,0,60,0,2022,0,0,2,0,No,0,Hyper equipped,0,2900
apartment,€379000,3,Not specified,Not specified,0,Yes,0,0,0,0,2023,0,0,2,0,No,2,Hyper equipped,0,2560
apartment,€240000,2,E,489,0,0,0,0,0,0,0,0,0,1,0,No,1,Installed,Gas,2861
apartment,€220000,2,B,182,0,0,0,0,0,0,1974,0,0,1,0,No,1,USA installed,Gas,2580
apartment,€25.000.,2,C,294,0,0,0,0,0,0,1978,0,0,1,0,No,1,Installed,Fuel oil,2580
apartment,€239000,2,C,241,0,0,0,0,0,0,1967,Just renovated,0,1,0,No,1,0,0,9032
apartment,€369000,2,B,166,No,0,0,0,0,0,1974,Just renovated,0,2,0,No,0,Installed,Gas,2100
apartment,€370000,2,Not specified,Not specified,0,Yes,0,0,0,0,2024,0,0,2,0,No,0,0,0,03509
apartment,€,2,Not specified,Not specified,0,0,10,0,42,0,2023,0,0,1,0,No,1,Installed,Gas,9660
apartment,€249000,2,B,103,No,0,10,0,0,0,2003,To be done up,0,1,0,No,1,USA installed,0,8800
apartment,€309240,2,Not specified,Not specified,0,0,5,0,0,0,2023,0,0,2,0,No,1,0,Gas,8211
apartment,€254743,2,Not specified,Not specified,0,0,11,0,0,0,2022,0,0,1,0,No,1,0,0,8800
apartment,€396061,2,Not specified,Not specified,0,0,18,0,43,0,2022,0,0,1,0,No,1,0,0,8800
apartment,€495000,3,A,60,Yes,Yes,0,0,0,0,2020,0,0,1,0,No,1,0,0,20
apartment,€175000,1,C,234,0,0,0,0,0,0,1965,To be done up,0,1,0,No,0,Semi equipped,0,2800
apartment,€,2,D,178,No,0,0,0,0,0,2010,Good,0,1,0,No,1,Installed,Gas,1070
apartment,€349000,3,B,128,0,Yes,0,0,0,0,1966,As new,0,1,0,No,1,0,Fuel oil,8670
apartment,€330000,2,A,84,No,0,0,0,0,0,1965,Just renovated,0,1,0,No,1,Hyper equipped,0,8670
apartment,€249000,1,B,177,No,0,0,0,0,2,1977,Good,0,1,0,No,1,Installed,Gas,9032
apartment,€249000,1,Not specified,Not specified,0,Yes,0,0,0,0,2024,0,0,0,0,No,1,0,0,8400
apartment,€289000,2,C,201,No,Yes,0,0,0,0,2003,As new,0,1,0,No,2,Installed,Gas,9220
apartment,€300000,2,Not specified,Not specified,No,0,0,0,0,0,1968,To renovate,0,1,0,No,0,0,0,185
apartment,€250000,3,Not specified,Not specified,No,0,0,0,0,0,1980,Good,0,1,0,No,0,0,Fuel oil,185
apartment,€300000,3,Not specified,Not specified,No,0,0,0,0,0,1930,Good,0,1,0,No,0,0,Gas,185
apartment,€190000,2,Not specified,Not specified,No,0,0,0,0,0,1978,As new,0,2,0,No,0,0,Gas,3
apartment,€210000,5,Not specified,Not specified,No,0,0,0,0,0,1978,As new,0,2,0,No,0,0,Gas,181
apartment,€135000,1,Not specified,Not specified,No,0,0,0,0,0,1980,Good,0,1,0,No,0,0,Fuel oil,3
apartment,€120000,1,Not specified,Not specified,No,0,0,0,0,0,1974,Good,0,1,0,No,0,0,Fuel oil,3
apartment,€140000,1,Not specified,Not specified,No,0,0,0,0,0,2001,Good,0,1,0,No,0,0,Fuel oil,3
apartment,€140000,3,Not specified,Not specified,No,0,0,0,0,0,1970,As new,0,1,0,No,0,0,Fuel oil,187
apartment,€67000,1,Not specified,Not specified,No,0,0,0,0,0,1967,Good,0,1,0,No,0,0,Fuel oil,3
apartment,€80000,1,Not specified,Not specified,No,0,0,0,0,0,1975,Good,0,1,0,No,0,0,Fuel oil,3
apartment,€188000,1,Not specified,Not specified,No,0,0,0,0,0,2023,0,0,1,0,No,0,0,Electric,20
apartment,€148750,1,C,208,No,0,12,0,22,2,1982,Just renovated,0,1,0,No,1,0,Gas,9600
apartment,€215000,1,A,86.77,No,Yes,0,0,32,2,2013,As new,0,1,0,No,1,0,Gas,9700
apartment,€349000,3,B,128,0,Yes,0,0,0,0,2002,As new,0,1,0,No,2,0,0,9100
apartment,€30000.,2,G,666,No,0,0,0,32,2,1963,Good,0,1,0,No,1,0,Fuel oil,1070
apartment,€249000,2,B,192,0,0,6,0,25,0,0,As new,0,1,0,No,1,Installed,Gas,9280
apartment,€250000,2,B,154,0,Yes,0,0,30,2,1977,0,0,1,0,0,1,Semi equipped,Gas,9040
apartment,€149000,1,Not specified,Not specified,Yes,Yes,0,0,0,2,0,Just renovated,0,1,0,0,1,Installed,0,8370
apartment,€249000,2,B,120,0,0,40,0,0,2,1959,Just renovated,0,1,0,0,0,Installed,Gas,9200
apartment,€30.000,2,C,123,Yes,Yes,0,0,37,0,2002,Good,0,1,0,0,1,USA hyper equipped,Gas,1030
