
Type_of_property,Price,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,postal code
house,€677000,4,Not specified,Not specified,0,Yes,0,1000,0,0,2023,0,0,2,0,No,0,0,0,3120
house,€219000,2,F,519,0,0,0,155,0,0,2007,As new,0,1,0,No,1,Installed,Pellet,8450
house,€499000,6,D,330,0,Yes,0,604,0,0,1988,To renovate,0,1,0,No,1,Installed,0,2880
house,€168000,3,F,1203,0,0,0,1316,0,0,0,To renovate,0,1,0,No,0,Semi equipped,0,8690
house,€219500,3,F,604,0,0,0,817,0,0,1957,To be done up,0,0,0,No,0,0,0,3660
house,€,3,Not specified,Not specified,0,0,0,385,0,0,2023,0,0,1,0,No,2,Hyper equipped,0,8600
house,€430360,3,Not specified,Not specified,0,0,0,290,0,0,2023,0,0,1,0,No,2,0,0,8740
house,€393685,3,Not specified,Not specified,0,0,0,372,0,0,2023,0,0,1,0,No,2,Hyper equipped,Gas,8640
house,€444828,3,Not specified,Not specified,0,0,0,485,0,0,2023,0,0,1,0,No,2,Hyper equipped,Gas,8640
house,€,3,Not specified,Not specified,0,0,0,340,0,0,2023,0,0,1,0,No,2,Hyper equipped,Gas,8730
house,€389810,3,Not specified,Not specified,0,0,0,368,0,0,2023,0,0,1,0,No,2,Hyper equipped,Gas,8700
house,€345000,3,B,199,No,Yes,0,452,0,0,0,0,0,1,0,No,2,Hyper equipped,Gas,9520
house,€525000,3,C,235,0,0,30,635,0,0,0,0,0,1,0,No,0,Hyper equipped,0,2160
house,€370000,3,F,781,0,Yes,0,700,0,0,1962,0,0,1,0,No,2,Installed,Fuel oil,3140
house,€648000,4,A,26,0,0,0,1231,0,0,2019,0,0,1,0,Yes,2,Hyper equipped,Gas,2223
house,€379000,3,Not specified,Not specified,0,Yes,0,105,0,0,2023,0,0,2,0,No,2,Hyper equipped,0,2560
house,€265000,2,E,414,0,Yes,0,127,0,0,1931,0,0,1,0,No,1,Installed,Gas,2800
house,€198000,2,C,268,0,0,0,108,0,0,1949,0,0,1,0,No,1,0,Gas,2820
house,€215000,3,F,624,0,Yes,0,142,0,0,1977,0,0,1,0,No,1,0,0,8560
house,€449000,4,C,250,0,0,0,1299,0,0,1989,To be done up,0,2,0,No,1,Installed,Gas,8770
house,€298000,3,B,181,0,Yes,0,630,0,0,1935,As new,0,1,0,No,1,Hyper equipped,Gas,8770
house,€274500,2,F,693,No,0,0,279,0,0,0,Good,0,1,0,No,0,Semi equipped,Gas,9270
house,€795000,3,B,139,Yes,0,27,89,0,0,2013,As new,0,1,0,No,3,Installed,Gas,3000
house,€150,15,A,100,Yes,Yes,0,300,28,0,1968,0,0,15,0,No,13,Installed,Gas,3000
house,€475000,3,B,149,0,0,20,772,40,0,1967,0,0,1,0,No,2,Installed,Fuel oil,9080
house,€293500,5,A,30,No,Yes,0,154,0,0,0,0,0,1,0,Yes,1,USA hyper equipped,Gas,8800
house,€499000,4,C,262,0,0,0,1000,82,0,2006,To be done up,0,1,0,Yes,3,Hyper equipped,Fuel oil,9900
house,€596000,3,C,287,No,Yes,0,1575,0,4,1984,0,0,1,0,0,0,0,Fuel oil,3550
house,€480000,3,A+,26,0,0,0,930,0,4,2020,0,0,1,0,0,2,Installed,0,5651
house,€485000,4,A,78,No,Yes,0,183,0,0,2016,0,0,1,0,No,2,Installed,Gas,2590
house,€410000,5,C,253,No,0,0,802,0,0,1953,0,0,2,0,No,2,0,0,3530
house,€225000,5,E,493,No,Yes,0,260,0,0,1930,As new,0,2,0,Yes,3,Installed,Fuel oil,8600
house,€305000,4,C,210,No,Yes,0,108,0,0,0,Just renovated,0,1,0,No,2,USA installed,Gas,8600
house,€279000,3,E,403,No,Yes,0,529,0,0,1935,To be done up,0,1,0,No,1,Installed,Gas,8480
house,€349000,3,B,147,No,Yes,0,398,22,0,1998,As new,0,1,0,No,1,Installed,Fuel oil,9450
house,€319500,3,C,227,No,0,18,200,12,0,0,As new,0,1,0,No,1,Installed,Gas,9300
house,€195000,3,D,327,No,0,0,160,16,0,1927,To be done up,0,1,0,No,0,Installed,Gas,9506
house,€185000,3,F,1150,0,0,0,690,0,0,0,To renovate,0,1,0,No,2,Installed,0,9506
house,€259000,2,B,140,No,0,0,245,0,2,1921,Just renovated,0,1,0,0,1,Installed,Gas,2300
house,€425000,3,D,394,0,Yes,0,55,0,0,0,Just renovated,0,1,0,No,1,0,0,9050
house,€425000,3,D,394,0,Yes,0,55,0,0,0,Just renovated,0,1,0,No,1,0,0,9000
house,€264000,3,Not specified,Not specified,0,0,0,141,16,0,0,0,0,1,0,No,2,0,Gas,9600
house,€262000,3,Not specified,Not specified,0,0,0,140,16,0,0,0,0,1,0,No,2,0,Gas,9600
house,€264000,3,Not specified,Not specified,0,0,0,139,16,0,0,0,0,1,0,No,2,0,Gas,9600
house,€259000,4,C,256,0,0,0,166,39,0,0,As new,0,1,0,No,1,Installed,Gas,9660
house,€264000,3,Not specified,Not specified,0,0,0,143,16,0,0,0,0,1,0,No,2,0,Gas,9600
house,€262000,3,Not specified,Not specified,0,0,0,142,16,0,0,0,0,1,0,No,2,0,Gas,9600
house,€282000,3,Not specified,Not specified,0,0,0,146,16,0,0,0,0,1,0,No,2,0,Gas,9600
house,€205000,2,C,227,0,Yes,0,233,14,0,1961,To be done up,0,1,0,No,1,0,Gas,9660
house,€484000,3,C,227,0,Yes,0,1410,22,0,2004,As new,0,1,0,No,2,Installed,Gas,9667
house,€280000,2,B,193,No,Yes,0,0,0,0,0,0,0,1,0,No,1,Installed,Gas,8370
house,€490000,4,C,259,0,0,0,1012,0,0,0,As new,0,1,0,Yes,2,Installed,Gas,9111
house,€485000,3,Not specified,Not specified,0,0,20,0,0,0,2020,0,0,1,0,No,2,Installed,Gas,9300
house,€425000,3,D,342,No,0,0,1290,0,4,1983,Good,0,1,2,No,2,Installed,0,3583
house,€239000,3,F,857,0,0,0,196,0,0,1964,To renovate,0,0,0,No,0,Semi equipped,0,9150
house,€345000,4,E,458,0,0,0,867,0,0,1970,To be done up,0,0,0,No,0,0,0,9160
house,€135000,2,G,721,No,Yes,0,0,0,2,0,Good,0,1,1,0,1,USA semi equipped,Gas,4102
house,€328133,3,Not specified,Not specified,No,0,0,291,0,0,2023,0,0,1,0,No,2,0,0,8800
house,€315205,3,Not specified,Not specified,No,0,0,260,0,0,2023,0,0,1,0,Yes,1,0,0,8800
house,€379900,3,C,245,No,Yes,0,248,0,0,1951,Just renovated,0,1,0,No,0,0,0,8400
house,€598000,5,F,1179,0,Yes,0,4303,0,0,1973,0,0,1,0,No,2,0,0,8377
house,€329000,3,C,271,No,Yes,0,150,0,0,1950,Just renovated,0,1,0,No,2,0,0,8370
house,€1195000,4,D,349,No,Yes,0,946,0,0,1976,To be done up,0,1,0,Yes,2,USA hyper equipped,Gas,8300
house,€459000,3,C,280,No,0,0,267,0,2,1953,0,0,1,0,No,2,Installed,Gas,3740
house,€.,3,F,438,No,0,30,720,0,2,0,To renovate,0,0,0,No,1,Not installed,Carbon,7950
house,€650000,6,B,104,No,0,30,640,0,0,2015,As new,0,2,0,No,2,Hyper equipped,Electric,7800
house,€374000,1,Not specified,Not specified,0,0,0,303,40,0,2024,0,0,1,0,No,2,0,0,8830
house,€219000,2,D,393,0,0,0,101,32,0,2006,As new,0,1,0,No,1,0,0,8000
house,€299000,3,D,384,0,0,0,157,0,0,0,As new,0,0,0,No,0,0,Gas,8730
house,€259000,4,C,209,0,Yes,0,110,0,0,1936,As new,0,0,0,No,2,0,Gas,9290
house,€265000,3,F,620,No,Yes,0,214,0,0,1919,To be done up,0,1,0,No,1,Installed,0,9300
house,€329000,3,D,360,No,0,0,640,0,0,1963,As new,0,1,0,No,2,Installed,Gas,9451
house,€199000,2,F,1031,0,0,15,366,0,3,1949,To renovate,0,1,0,0,1,Semi equipped,Gas,2560
house,€229000,3,F,854,0,0,12,83,0,2,1850,Good,0,1,0,Yes,2,Semi equipped,Electric,2500
house,€321000,3,D,388,0,0,0,772,0,0,1970,Just renovated,0,1,0,No,1,0,Fuel oil,3590
house,€268000,3,F,650,No,0,0,205,0,2,1972,Good,0,1,0,No,1,Installed,Fuel oil,2222
house,€525000,4,D,307,0,0,0,1364,0,0,1990,0,0,2,0,No,0,0,0,3140
house,€375000,3,B,150,No,Yes,0,360,0,0,2006,As new,0,1,0,No,2,0,0,20
house,€330000,3,Not specified,Not specified,No,0,0,0,0,0,2011,As new,0,4,0,No,4,0,Fuel oil,145
house,€215000,3,Not specified,Not specified,No,0,0,0,0,0,2000,As new,0,1,0,No,0,0,Electric,19015
house,€250000,3,Not specified,Not specified,No,0,0,0,0,0,2023,0,0,3,0,No,1,0,Electric,190
house,€250000,3,Not specified,Not specified,No,0,0,0,0,0,2023,0,0,3,0,No,1,0,Electric,190
house,€250000,3,Not specified,Not specified,No,0,0,0,0,0,2023,0,0,3,0,No,1,0,Electric,190
house,€259000,5,F,557,No,Yes,0,805,32,3,1960,To renovate,0,1,0,Yes,1,0,Gas,9790
house,€142500,5,F,602,No,Yes,0,548,20,3,0,To renovate,0,1,0,No,1,0,Gas,9700
house,€520000,4,Not specified,Not specified,No,Yes,0,449,0,3,2023,0,0,2,0,Yes,2,0,0,9820
house,€199000,3,D,303,No,0,0,60,26,2,0,0,0,1,0,No,1,0,Gas,9620
house,€519000,4,E,438,No,Yes,0,1654,40,4,1978,To renovate,0,1,0,Yes,3,0,Electric,9630
house,€499000,4,Not specified,Not specified,No,0,0,850,0,0,2021,0,0,1,0,Yes,2,0,0,9470
house,€299000,3,D,311,0,0,40,1035,32,0,2004,Good,0,1,0,0,2,0,0,4560
house,€279000,5,E,389,0,Yes,0,3042,19,3,0,To be done up,0,2,0,0,3,Semi equipped,Fuel oil,5353
house,€625000,4,C,197,0,Yes,0,816,43,4,0,As new,0,1,2,Yes,4,USA hyper equipped,Fuel oil,1380
house,€549000,4,Not specified,Not specified,0,0,0,470,0,0,0,0,0,2,0,0,0,0,0,2500
house,€525000,4,B,200,0,Yes,0,3844,35,4,1978,Good,0,1,0,0,2,Installed,Fuel oil,3380
house,€550000,5,E,409,0,0,0,801,50,4,1965,Good,0,1,0,0,2,0,Gas,2160
house,€488000,5,C,218,0,0,0,86,28,2,1899,To be done up,0,3,0,0,2,0,Gas,3000
house,€329000,3,E,421,0,0,0,300,38,2,1958,Good,0,1,0,0,0,0,0,2610
house,€,4,F,619,0,0,0,0,0,4,0,To renovate,0,1,0,0,0,0,Gas,8953
house,€560000,3,A,95,0,Yes,0,383,49,3,2007,Good,0,1,0,Yes,3,Hyper equipped,Gas,1601
house,€350000,4,F,1180,0,0,0,1500,31,4,1900,To renovate,0,1,0,0,1,Semi equipped,Fuel oil,1540
house,€130000,1,F,841,0,0,0,165,0,2,0,To renovate,0,0,0,0,1,Not installed,0,1800
house,€375000,5,B,145,0,Yes,0,161,68,2,1945,Just renovated,0,2,0,Yes,3,USA hyper equipped,Fuel oil,5600
house,€279000,5,B,198,0,0,0,0,0,2,0,Good,0,1,0,0,2,0,0,8940
house,€145000,2,F,1087,0,0,0,245,0,3,1938,To renovate,0,1,0,0,1,0,0,8560
house,€390000,4,F,766,0,Yes,0,230,0,2,1940,To renovate,0,3,0,0,3,Semi equipped,Gas,2800
house,€698000,4,Not specified,74,0,0,0,186,0,2,2015,0,0,0,2,0,3,0,Fuel oil,09560
house,€378000,3,F,1099,0,0,0,784,0,2,1958,To restore,0,1,0,0,0,Semi equipped,Pellet,1785
house,€265000,4,F,444,0,Yes,0,250,26,4,0,Good,0,1,0,0,2,Installed,Fuel oil,4577
house,€329000,3,E,432,No,0,14,170,20,3,1960,To be done up,0,1,1,0,1,Installed,Gas,1970
house,€275000,2,C,218,0,0,0,146,26,4,0,Good,0,0,1,0,2,Hyper equipped,Fuel oil,4821
house,€315000,3,C,243,0,0,44,278,28,3,0,0,0,1,1,0,2,Hyper equipped,Gas,4860
house,€295000,4,C,216,0,0,0,180,49,2,1915,As new,0,2,0,0,2,0,Gas,2660
house,€495000,4,D,369,0,Yes,0,460,0,4,1975,Good,0,2,0,0,2,Hyper equipped,Gas,1755
house,€335000,3,E,401,0,Yes,0,514,30,2,1930,Just renovated,0,1,0,0,2,Semi equipped,Gas,1500
house,€790000,4,C,226,0,Yes,0,1750,36,4,1996,Just renovated,0,2,0,0,3,Installed,Gas,1500
house,€790000,4,C,226,0,Yes,0,1750,36,4,1996,Just renovated,0,2,0,0,3,Installed,Gas,1502
house,€490000,4,C,277,0,Yes,0,575,35,4,1972,Just renovated,0,2,0,0,2,Installed,Electric,1500
house,€490000,4,C,277,0,Yes,0,575,35,4,1972,Just renovated,0,2,0,0,2,Installed,Electric,1502
house,€460000,3,B,126,No,0,40,806,37,2,1946,Good,0,1,0,No,2,Installed,0,3010
house,€199000,3,E,454,No,0,0,759,29,0,1969,Good,0,1,0,No,2,0,Gas,3980
house,€319000,4,D,342,No,0,0,800,31,4,1996,Good,0,1,0,No,2,Installed,Fuel oil,3530
house,€429000,4,E,482,No,0,0,1273,0,4,1973,To renovate,0,1,0,No,2,Installed,0,9032
house,€265000,3,C,203,0,Yes,0,461,0,2,0,Good,0,2,0,0,3,Semi equipped,Gas,8550
house,€895000,4,E,245,0,0,15,111,40,2,1954,As new,0,2,0,0,3,Not installed,Gas,1180
house,€489000,4,B,114,No,0,40,278,0,3,1996,As new,0,1,0,0,1,Installed,Gas,9120
house,€224000,5,E,446,No,0,0,340,30,2,1948,To be done up,0,1,0,No,3,Installed,0,8433
house,€109000,4,Not specified,Not specified,No,0,0,182,47,2,1930,To renovate,0,0,0,No,1,0,0,8647
house,€249000,2,Not specified,Not specified,No,0,0,1247,22,3,0,To renovate,0,1,0,No,1,Installed,0,8690
house,€149000,3,Not specified,Not specified,No,0,0,592,33,3,1867,0,0,1,0,No,1,Installed,Fuel oil,8480
house,€75000,2,E,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gas,7700
house,€248000,3,F,610,No,0,0,57,0,0,0,0,0,0,0,No,0,0,0,8000
house,€235.000,4,F,643,No,0,0,251,0,2,1957,Good,0,2,0,No,2,Not installed,Gas,8501
house,€245000,3,B,194,No,0,0,207,0,2,1931,Good,0,0,0,Yes,0,0,0,8501
house,€1495000,3,Not specified,Not specified,No,0,0,52668,0,0,2020,0,0,2,0,No,0,0,0,3990
house,€264000,2,Not specified,Not specified,No,0,0,730,0,3,0,0,0,0,0,No,0,0,0,2400
house,€349500,3,Not specified,Not specified,No,0,0,361,0,3,2023,0,0,0,0,No,0,0,0,8800
house,€219000,1,F,1300,0,0,0,1005,0,4,1933,To renovate,0,1,0,0,0,Semi equipped,Fuel oil,2400
house,€415000,3,Not specified,Not specified,0,0,18,70,46,2,0,Good,0,1,0,0,2,0,0,1070
house,€149000,4,E,362,0,0,31,160,25,2,0,To be done up,0,1,0,0,1,Semi equipped,Gas,7700
house,€339000,3,E,479,0,Yes,0,273,30,2,1966,To renovate,0,1,0,0,1,Semi equipped,Gas,2110
house,€469000,4,D,352,0,0,0,107,0,3,1930,As new,0,1,0,0,3,Installed,Gas,2100
house,€269000,2,F,621,0,Yes,0,89,0,2,0,To renovate,0,2,0,0,3,Semi equipped,Gas,2170
house,€529000,2,D,356,0,Yes,0,2887,0,0,1997,Good,0,1,0,0,2,Installed,Fuel oil,2160
house,€209000,2,E,412,0,0,10,68,21,2,1931,Good,0,1,0,0,0,Semi equipped,Electric,2100
house,€249000,3,E,458,0,0,0,105,0,2,1948,Good,0,1,0,0,1,Not installed,Gas,2100
house,€70000,3,G,741,0,0,0,305,0,3,0,To renovate,0,1,0,0,0,0,0,7340
house,€269000,3,F,572,0,0,0,170,0,2,0,To renovate,0,1,0,0,1,Not installed,Gas,2100
house,€429000,3,C,289,0,0,22,229,37,3,1976,Good,0,1,0,0,0,Installed,Gas,2170
house,€329000,2,D,400,0,0,0,358,28,2,0,To be done up,0,1,0,0,2,Semi equipped,Gas,2110
house,€295000,4,F,521,0,0,20,115,26,2,1924,Good,0,2,0,0,2,Semi equipped,Gas,2170
house,€295000,3,C,235,0,0,0,81,21,2,0,As new,0,1,0,0,1,Semi equipped,Gas,2100
house,€217000,2,D,389,0,0,0,108,27,2,1931,Good,0,1,0,0,2,Semi equipped,Gas,2100
house,€465000,5,A,91,0,0,0,188,0,2,1978,As new,0,2,0,0,2,Installed,Gas,2170
house,€525000,4,B,132,0,0,0,500,37,3,0,Just renovated,0,1,1,0,2,Installed,Gas,2110
house,€849000,3,D,321,No,0,0,1600,0,4,1978,Good,0,1,0,Yes,0,0,Gas,1600
house,€129000,2,G,737,0,0,18,122,16,0,0,Good,0,0,1,0,1,0,Fuel oil,6060
house,€535000,3,D,317,0,0,0,0,0,4,1984,Good,0,1,0,0,2,Installed,Electric,1761
house,€425000,2,D,351,0,Yes,0,1188,35,3,1946,Good,0,1,0,0,2,Semi equipped,Gas,9270
house,€315000,4,G,602,0,0,0,1200,0,3,1850,To renovate,0,1,0,0,1,Semi equipped,0,1457
house,€495000,2,E,491,0,Yes,0,1012,0,4,1958,To be done up,0,1,0,0,0,Installed,Gas,2900
house,€639000,4,A,77,No,Yes,0,512,0,4,1985,Good,0,1,0,Yes,0,0,Electric,8490
